"P","G","Ca","L","offshore_conflict_payoff","surf_conflict_payoff","surf_accept_payoff","fight_minus_accept","offshore_implements","surf_prefers_fight"
0.1,8,4,1,4.2,6.7,9,-2.3,TRUE,FALSE
0.1,8,4,2,4.2,6.6,8,-1.4,TRUE,FALSE
0.1,8,4,3,4.2,6.5,7,-0.5,TRUE,FALSE
0.1,8,4,4,4.2,6.4,6,0.4,TRUE,TRUE
0.1,8,4,5,4.2,6.3,5,1.3,TRUE,TRUE
0.1,8,4,6,4.2,6.2,4,2.2,TRUE,TRUE
0.1,8,5,1,4.2,5.7,9,-3.3,TRUE,FALSE
0.1,8,5,2,4.2,5.6,8,-2.4,TRUE,FALSE
0.1,8,5,3,4.2,5.5,7,-1.5,TRUE,FALSE
0.1,8,5,4,4.2,5.4,6,-0.6,TRUE,FALSE
0.1,8,5,5,4.2,5.3,5,0.3,TRUE,TRUE
0.1,8,5,6,4.2,5.2,4,1.2,TRUE,TRUE
0.1,8,6,1,4.2,4.7,9,-4.3,TRUE,FALSE
0.1,8,6,2,4.2,4.6,8,-3.4,TRUE,FALSE
0.1,8,6,3,4.2,4.5,7,-2.5,TRUE,FALSE
0.1,8,6,4,4.2,4.4,6,-1.6,TRUE,FALSE
0.1,8,6,5,4.2,4.3,5,-0.7,TRUE,FALSE
0.1,8,6,6,4.2,4.2,4,0.2,TRUE,TRUE
0.2,0,0,1,13,9.8,9,0.800000000000001,TRUE,TRUE
0.2,0,0,2,13,9.6,8,1.6,TRUE,TRUE
0.2,0,0,3,13,9.4,7,2.4,TRUE,TRUE
0.2,0,0,4,13,9.2,6,3.2,TRUE,TRUE
0.2,0,0,5,13,9,5,4,TRUE,TRUE
0.2,0,0,6,13,8.8,4,4.8,TRUE,TRUE
0.2,0,1,1,13,8.8,9,-0.199999999999999,TRUE,FALSE
0.2,0,1,2,13,8.6,8,0.6,TRUE,TRUE
0.2,0,1,3,13,8.4,7,1.4,TRUE,TRUE
0.2,0,1,4,13,8.2,6,2.2,TRUE,TRUE
0.2,0,1,5,13,8,5,3,TRUE,TRUE
0.2,0,1,6,13,7.8,4,3.8,TRUE,TRUE
0.2,0,2,1,13,7.8,9,-1.2,TRUE,FALSE
0.2,0,2,2,13,7.6,8,-0.399999999999999,TRUE,FALSE
0.2,0,2,3,13,7.4,7,0.4,TRUE,TRUE
0.2,0,2,4,13,7.2,6,1.2,TRUE,TRUE
0.2,0,2,5,13,7,5,2,TRUE,TRUE
0.2,0,2,6,13,6.8,4,2.8,TRUE,TRUE
0.2,0,3,1,13,6.8,9,-2.2,TRUE,FALSE
0.2,0,3,2,13,6.6,8,-1.4,TRUE,FALSE
0.2,0,3,3,13,6.4,7,-0.6,TRUE,FALSE
0.2,0,3,4,13,6.2,6,0.200000000000001,TRUE,TRUE
0.2,0,3,5,13,6,5,1,TRUE,TRUE
0.2,0,3,6,13,5.8,4,1.8,TRUE,TRUE
0.2,0,4,1,13,5.8,9,-3.2,TRUE,FALSE
