P,G,share_surf_prefers_fight,share_offshore_implements
0.7000000000000001,24.0,0.8985507246376812,1.0
0.7000000000000001,25.0,0.9130434782608695,1.0
0.7000000000000001,26.0,0.927536231884058,1.0
0.7000000000000001,27.0,0.9565217391304348,1.0
0.7000000000000001,28.0,0.9710144927536232,1.0
0.7000000000000001,29.0,0.9855072463768116,1.0
0.7000000000000001,30.0,1.0,1.0
0.7000000000000001,31.0,1.0,1.0
0.7000000000000001,32.0,1.0,1.0
0.7000000000000001,33.0,1.0,1.0
0.8,0.0,0.10144927536231885,1.0
0.8,1.0,0.14492753623188406,1.0
0.8,2.0,0.18840579710144928,1.0
0.8,3.0,0.2318840579710145,1.0
0.8,4.0,0.2608695652173913,1.0
0.8,5.0,0.2753623188405797,1.0
0.8,6.0,0.3188405797101449,1.0
0.8,7.0,0.36231884057971014,1.0
0.8,8.0,0.4057971014492754,1.0
0.8,9.0,0.43478260869565216,1.0
0.8,10.0,0.4492753623188406,1.0
0.8,11.0,0.4927536231884058,1.0
0.8,12.0,0.5362318840579711,1.0
0.8,13.0,0.5797101449275363,1.0
0.8,14.0,0.6086956521739131,1.0
0.8,15.0,0.6231884057971014,1.0
0.8,16.0,0.6666666666666666,1.0
0.8,17.0,0.7101449275362319,1.0
0.8,18.0,0.7536231884057971,1.0
0.8,19.0,0.782608695652174,1.0
0.8,20.0,0.7971014492753623,1.0
0.8,21.0,0.8405797101449275,1.0
0.8,22.0,0.8840579710144928,1.0
0.8,23.0,0.927536231884058,1.0
0.8,24.0,0.9420289855072463,1.0
0.8,25.0,0.9565217391304348,1.0
0.8,26.0,0.9855072463768116,1.0
0.8,27.0,1.0,1.0
0.8,28.0,1.0,1.0
0.8,29.0,1.0,1.0
0.8,30.0,1.0,1.0
0.8,31.0,1.0,1.0
0.8,32.0,1.0,1.0
0.8,33.0,1.0,1.0
0.9,0.0,0.057971014492753624,1.0
0.9,1.0,0.10144927536231885,1.0
0.9,2.0,0.14492753623188406,1.0
0.9,3.0,0.18840579710144928,1.0
0.9,4.0,0.2318840579710145,1.0
0.9,5.0,0.2608695652173913,1.0
0.9,6.0,0.30434782608695654,1.0
0.9,7.0,0.34782608695652173,1.0
0.9,8.0,0.391304347826087,1.0
0.9,9.0,0.42028985507246375,1.0
0.9,10.0,0.4492753623188406,1.0
0.9,11.0,0.4927536231884058,1.0
0.9,12.0,0.5362318840579711,1.0
0.9,13.0,0.5797101449275363,1.0
0.9,14.0,0.6231884057971014,1.0
0.9,15.0,0.6521739130434783,1.0
0.9,16.0,0.6956521739130435,1.0
0.9,17.0,0.7391304347826086,1.0
0.9,18.0,0.782608695652174,1.0
0.9,19.0,0.8115942028985508,1.0
0.9,20.0,0.8405797101449275,1.0
0.9,21.0,0.8840579710144928,1.0
0.9,22.0,0.927536231884058,1.0
0.9,23.0,0.9710144927536232,1.0
0.9,24.0,1.0,1.0
0.9,25.0,1.0,1.0
0.9,26.0,1.0,1.0
0.9,27.0,1.0,1.0
0.9,28.0,1.0,1.0
0.9,29.0,1.0,1.0
0.9,30.0,1.0,1.0
0.9,31.0,1.0,1.0
0.9,32.0,1.0,1.0
0.9,33.0,1.0,1.0
